tamanho,tempo_ms
10000.0,85.0
10000.0,88.0
10000.0,90.0
10000.0,88.0
10000.0,83.0
10000.0,93.0
10000.0,98.0
10000.0,87.0
10000.0,89.0
10000.0,89.0
